seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal
65,0.17689312211229,0.473942969518191,0.2970498474059,0.0430725391004145,0.452529795520687,0.409457256420273,-0.133820583011876,0
66,0.188,0.493,0.305,0.0207033860345772,0.449316063269895,0.428612677235317,-0.167296613965423,0
67,0.145726607305237,0.448478900883219,0.302752293577982,0.0104214422839908,0.428530602450061,0.41810916016607,-0.135305165021247,0
68,0.174,0.471,0.297,0.0409618275476509,0.455960043860034,0.414998216312383,-0.133038172452349,0
69,0.138013450336258,0.467661691542288,0.32964824120603,0.0368822904587729,0.444225009074785,0.407342718616013,-0.101131159877485,0
70,0.141451724538009,0.479716024340771,0.338264299802761,0.00910466428665579,0.441901762658349,0.432797098371693,-0.132347060251354,0
71,0.138926492114329,0.46236559139785,0.323439099283521,-0.022153379145765,0.400845259807071,0.422998638952836,-0.161079871260094,1
72,0.183410023902645,0.474095796676442,0.290685772773797,-0.0142711670425538,0.417725603289988,0.431996770332541,-0.197681190945199,1
73,0.130921125670238,0.453109575518263,0.322188449848024,-0.0193613943560023,0.405080935246932,0.424442329602934,-0.150282520026241,1
74,0.11787294682367,0.446231155778894,0.328358208955224,0.0225874341397545,0.44718630151568,0.424598867375926,-0.0952855126839157,0
75,0.133276797964727,0.460238568588469,0.326961770623742,0.00226561551712701,0.444417438305872,0.442151822788745,-0.1310111824476,0
76,0.160796470179882,0.45676500508647,0.295968534906588,-0.0123404799012878,0.440072266381732,0.45241274628302,-0.17313695008117,1
77,0.181168292270282,0.4870734229576,0.305905130687318,-0.03024748222888,0.420634371885586,0.450881854114466,-0.211415774499162,1
78,0.162697352155421,0.473326867119301,0.31062951496388,0.0107272429207486,0.432039157306957,0.421311914386208,-0.151970109234672,0
79,0.149416589342358,0.468524251805985,0.319107662463628,-0.0640869408322209,0.417966522477204,0.482053463309425,-0.213503530174579,1
80,0.127093880891002,0.460754332313966,0.333660451422964,-0.00905480454227736,0.469164222353168,0.478219026895445,-0.136148685433279,1
81,0.161401106463311,0.445198836081474,0.283797729618163,-0.0136834022978511,0.419891621993479,0.43357502429133,-0.175084508761163,1
82,0.133370074400661,0.473684210526316,0.340314136125654,0.0173956212570658,0.46049300361067,0.443097382353604,-0.115974453143596,0
83,0.147466032520342,0.465781409601635,0.318315377081293,0.00554593854244378,0.432148335575828,0.426602397033384,-0.141920093977898,0
84,0.146411251406626,0.4642166344294,0.317805383022774,0.045118112109708,0.437424062454763,0.392305950345055,-0.101293139296918,0
