seed,ate_true,s1_true,s0_true,ate_naive,s1_naive,s0_naive,bias,reversal,n_treated_obs,n_control_obs
160,0.17288276612425824,0.47609561752988067,0.30321285140562243,-0.04105951292516635,0.42226895421236954,0.4633284671375359,-0.2139422790494246,1,1422,578
161,0.1110300818595511,0.4494602551521099,0.3384301732925588,0.022816882596233323,0.44898109871569164,0.4261642161194583,-0.08821319926331778,0,1384,616
162,0.11577711577711575,0.4464464464464467,0.33066933066933096,0.04966201875476228,0.4539419172363143,0.404279898481552,-0.06611509702235346,0,1397,603
163,0.12535371960265135,0.44860710854947133,0.32325338894682,-0.013170305320401643,0.44223430526735386,0.4554046105877555,-0.138524024923053,1,1412,588
164,0.15088241411862607,0.46513944223107595,0.3142570281124499,0.010212794805328551,0.46242604907914986,0.4522132542738213,-0.14066961931329752,0,1387,613
165,0.14413765506202547,0.4686274509803931,0.32448979591836763,0.03196737254144155,0.45385860347973556,0.421891230938294,-0.11217028252058392,0,1410,590
166,0.15257462421386953,0.4726522187822497,0.3200775945683802,0.020677160043230336,0.4286566242525223,0.407979464209292,-0.1318974641706392,0,1417,583
167,0.17211430285757157,0.47462686567164203,0.30251256281407046,-0.01091927436229212,0.41296517402612004,0.42388444838841216,-0.18303357721986369,1,1413,587
168,0.11037563362419062,0.46146044624746446,0.35108481262327385,0.011646756357326926,0.45079152310548276,0.43914476674815583,-0.09872887726686369,0,1434,566
169,0.1572575765304332,0.47315096251266425,0.31589338598223105,0.014547094585653564,0.42388696077304927,0.4093398661873957,-0.14271048194477964,0,1443,557
170,0.16266568254758812,0.4752275025278061,0.312561819980218,0.05059188281712729,0.4624354771687384,0.4118435943516111,-0.11207379973046083,0,1412,588
171,0.1812448809991689,0.4652567975830815,0.2840119165839126,0.016509180093638276,0.4350743053212256,0.4185651252275873,-0.16473570090553064,0,1410,590
172,0.15541846201855508,0.45562130177514754,0.30020283975659245,0.04093044707039328,0.43939688705598784,0.39846643998559456,-0.1144880149481618,0,1377,623
173,0.13389334733368308,0.45628140703517567,0.3223880597014926,-0.03125380863777055,0.4263487567552037,0.4576025653929742,-0.16514715597145363,1,1417,583
174,0.157975797579758,0.48019801980197996,0.32222222222222197,0.014659220594763656,0.4439745686563742,0.42931534806161054,-0.14331657698499434,0,1413,587
175,0.18675260351028755,0.4950690335305714,0.30831643002028386,-0.011696644138583123,0.4399327201598024,0.4516293642983855,-0.19844924764887067,1,1435,565
176,0.14956848030018727,0.46341463414634126,0.313846153846154,0.03267419737673305,0.4616988960498816,0.4290246986731486,-0.11689428292345422,0,1368,632
177,0.14606813524590168,0.4702868852459017,0.32421875,-0.004562027771836952,0.44774303412690203,0.452305061898739,-0.15063016301773863,1,1405,595
178,0.21536701284985033,0.4979757085020246,0.2826086956521743,-0.006049203367541445,0.45471692440897515,0.4607661277765166,-0.22141621621739177,1,1427,573
179,0.13387518235303575,0.4518828451882845,0.31800766283524873,0.020247160556258637,0.458822011263432,0.43857485070717334,-0.11362802179677711,0,1400,600
180,0.15589558955895572,0.47272727272727216,0.31683168316831645,-0.009971839219067746,0.4288297175280317,0.4388015567470994,-0.16586742877802346,1,1420,580
181,0.1410564417963996,0.4602713178294572,0.3192148760330576,0.03860491344855965,0.41120831069717007,0.3726033972486104,-0.10245152834783994,0,1415,585
182,0.11289782244556157,0.4462311557788946,0.33333333333333304,0.04127643402159176,0.4128401093007697,0.37156367527917794,-0.07162138842396981,0,1415,585
183,0.15065235587120285,0.4666001994017947,0.31594784353059185,0.021448710581965957,0.4630702878167671,0.44162157723480117,-0.1292036452892369,0,1439,561
184,0.1484977062957502,0.4694471387002909,0.3209494324045407,0.08342497890520068,0.45968701860594313,0.37626203970074246,-0.06507272739054953,0,1410,590
185,0.14400000000000007,0.48099999999999976,0.3369999999999997,-0.0012018512788440905,0.4227863733232657,0.4239882246021098,-0.14520185127884416,1,1401,599
186,0.12767744897132582,0.44213649851632064,0.3144590495449948,-0.004797165028983641,0.4158515931625045,0.4206487581914881,-0.13247461400030947,1,1424,576
187,0.15731487520425214,0.4660397074190175,0.3087248322147654,0.027731334767232663,0.41867664770559326,0.3909453129383606,-0.12958354043701947,0,1367,633
188,0.11462850650493678,0.4585020242914983,0.3438735177865615,0.005534434289566514,0.46137713145641157,0.45584269716684506,-0.10909407221537026,0,1432,568
